class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
neutral,0.40718579292297363,0.15769726037979126,-0.28642982244491577,0.9999276399612427,0.42072534561157227,0.12872686982154846,-0.26207756996154785,0.9998273253440857,0.4301486611366272,0.1294150948524475,-0.2623003423213959,0.9998477101325989,0.439255952835083,0.1301613599061966,-0.2623061239719391,0.999818742275238,0.3959815204143524,0.12849991023540497,-0.26808780431747437,0.999874472618103,0.38632112741470337,0.1289033144712448,-0.26824331283569336,0.9998968243598938,0.37707871198654175,0.1297834813594818,-0.2684779167175293,0.9998912215232849,0.452986478805542,0.14278197288513184,-0.08195681869983673,0.9997661113739014,0.3651515543460846,0.14429591596126556,-0.11257535219192505,0.9999291896820068,0.42123571038246155,0.18842117488384247,-0.215606689453125,0.9998588562011719,0.3942219614982605,0.1864643692970276,-0.22443588078022003,0.9999183416366577,0.5107937455177307,0.29370081424713135,0.03648815304040909,0.9997445940971375,0.31339603662490845,0.3092134892940521,-0.04166217893362045,0.9998828768730164,0.5563687682151794,0.4899466931819916,0.1923903375864029,0.9813381433486938,0.26862987875938416,0.5131960511207581,-0.016047921031713486,0.9950213432312012,0.5529857277870178,0.6836013793945312,0.13785402476787567,0.9697327017784119,0.30609968304634094,0.704107940196991,-0.16535179316997528,0.981587827205658,0.5601854920387268,0.7348148822784424,0.10552380979061127,0.9529515504837036,0.30814534425735474,0.7615991234779358,-0.206565260887146,0.9631445407867432,0.5501704812049866,0.7322407364845276,0.046559639275074005,0.9559419751167297,0.3254474997520447,0.7553357481956482,-0.2519168555736542,0.965703547000885,0.5409092903137207,0.7173442244529724,0.11493346840143204,0.9556700587272644,0.3290864825248718,0.7372116446495056,-0.18172141909599304,0.9649012684822083,0.490213543176651,0.7450586557388306,0.02932891622185707,0.9984856247901917,0.3645830750465393,0.7483205199241638,-0.028687074780464172,0.9987578988075256,0.504098653793335,1.021036982536316,-0.029870886355638504,0.7988296747207642,0.36091282963752747,1.0389282703399658,-0.031814344227313995,0.7666465044021606,0.5087378621101379,1.3465677499771118,0.3239259421825409,0.09173392504453659,0.39238977432250977,1.357607126235962,0.29486414790153503,0.07522337138652802,0.5069206357002258,1.3797204494476318,0.3524966239929199,0.0798666700720787,0.3900424540042877,1.390177845954895,0.3259674608707428,0.04479290917515755,0.5107583403587341,1.449845790863037,0.19710196554660797,0.04322473704814911,0.41734346747398376,1.454363465309143,0.12715968489646912,0.03043891116976738
neutral,0.49495387077331543,0.18064460158348083,-0.33921146392822266,0.9999806880950928,0.5067408680915833,0.14810800552368164,-0.3162198066711426,0.9999600052833557,0.5156789422035217,0.14762552082538605,-0.3163914382457733,0.9999672174453735,0.5241092443466187,0.1474553644657135,-0.31657612323760986,0.9999603033065796,0.48215818405151367,0.15114644169807434,-0.31530457735061646,0.9999618530273438,0.47489315271377563,0.15243984758853912,-0.3152972459793091,0.9999669790267944,0.46914976835250854,0.15398207306861877,-0.315398633480072,0.9999598264694214,0.5345529317855835,0.16117653250694275,-0.14493949711322784,0.9999589920043945,0.46046653389930725,0.1676592081785202,-0.14033299684524536,0.9999747276306152,0.5118231177330017,0.2093040943145752,-0.27145469188690186,0.9999740719795227,0.4796380400657654,0.21044188737869263,-0.2697964906692505,0.9999760389328003,0.5996142625808716,0.3213607966899872,-0.03690187633037567,0.9999564290046692,0.40554794669151306,0.3209128677845001,-0.07215271890163422,0.9999378323554993,0.6386245489120483,0.5079086422920227,0.05719442293047905,0.9948003888130188,0.35753577947616577,0.4987938106060028,-0.03910760208964348,0.9972730875015259,0.6105694770812988,0.6787502765655518,-0.09617824107408524,0.9935539364814758,0.3965531289577484,0.6892912983894348,-0.18325164914131165,0.9918969869613647,0.595992386341095,0.7354182600975037,-0.15596726536750793,0.9889639616012573,0.405524343252182,0.7435276508331299,-0.23836246132850647,0.9835938811302185,0.582473874092102,0.726572573184967,-0.20900793373584747,0.9897990226745605,0.4237235188484192,0.7326801419258118,-0.27644971013069153,0.9847155809402466,0.5822920799255371,0.7109893560409546,-0.1192602664232254,0.9897627234458923,0.4245723783969879,0.7162085175514221,-0.20081010460853577,0.9846534132957458,0.5543185472488403,0.7396507859230042,0.015073055401444435,0.9996790289878845,0.4383625388145447,0.731715202331543,-0.014700189232826233,0.9996768236160278,0.5447684526443481,0.9990537762641907,-0.034388937056064606,0.7109995484352112,0.4423348307609558,1.0062590837478638,-0.04519646242260933,0.6813313364982605,0.5439947247505188,1.250828504562378,0.41384726762771606,0.03817702829837799,0.4527764320373535,1.260492205619812,0.3392716646194458,0.0451773963868618,0.5410370230674744,1.2704012393951416,0.4571089744567871,0.04155859723687172,0.4543006420135498,1.2821062803268433,0.37841373682022095,0.027929922565817833,0.5417348146438599,1.3574459552764893,0.31919339299201965,0.017057402059435844,0.4607890248298645,1.3565596342086792,0.2077244222164154,0.016823144629597664
neutral,0.49603256583213806,0.18220694363117218,-0.2989911139011383,0.999961793422699,0.508541464805603,0.14817537367343903,-0.2762313485145569,0.9999274611473083,0.5172010660171509,0.1476915329694748,-0.2764328122138977,0.9999395608901978,0.5249660611152649,0.14750562608242035,-0.2766764760017395,0.99992835521698,0.48358407616615295,0.1505289524793625,-0.2769080698490143,0.9999227523803711,0.4758332669734955,0.15169459581375122,-0.2768675684928894,0.9999314546585083,0.4688264727592468,0.15334098041057587,-0.2769422233104706,0.9999194145202637,0.5345097184181213,0.1616799235343933,-0.11211524903774261,0.9999269247055054,0.4598098695278168,0.16840726137161255,-0.11194002628326416,0.9999461770057678,0.5127086043357849,0.2104356437921524,-0.23302742838859558,0.9999610185623169,0.4804331362247467,0.2113925963640213,-0.2329535186290741,0.9999579191207886,0.6004117727279663,0.32271844148635864,-0.005699402652680874,0.999941349029541,0.40527716279029846,0.3243914246559143,-0.07157410681247711,0.999917209148407,0.6276070475578308,0.5243344902992249,0.08764636516571045,0.9891828298568726,0.38469046354293823,0.5211741924285889,-0.043165311217308044,0.9957566857337952,0.6040817499160767,0.7005329728126526,-0.045381467789411545,0.9874188899993896,0.400190532207489,0.7142689228057861,-0.18827661871910095,0.9881661534309387,0.5950189828872681,0.7586782574653625,-0.09963802993297577,0.9801883697509766,0.401301771402359,0.7672441005706787,-0.24917010962963104,0.9771196246147156,0.5825406312942505,0.754709005355835,-0.153317391872406,0.9817489981651306,0.4168493151664734,0.7628917098045349,-0.29354965686798096,0.9787588119506836,0.5800191164016724,0.738284707069397,-0.06928010284900665,0.9816188216209412,0.4222465455532074,0.7485280632972717,-0.20996621251106262,0.9785759449005127,0.5528856515884399,0.7455821633338928,0.019398730248212814,0.9996505975723267,0.4393712878227234,0.7387339472770691,-0.01895393803715706,0.999636173248291,0.5413640737533569,1.0000557899475098,-0.07020865380764008,0.6775933504104614,0.43869748711586,1.0103555917739868,-0.0792299211025238,0.6508598923683167,0.5380911231040955,1.2409322261810303,0.4320439398288727,0.03753248229622841,0.4501418471336365,1.2433332204818726,0.3789196014404297,0.03936091065406799,0.5336856245994568,1.2577004432678223,0.4791950583457947,0.04290316626429558,0.4518069326877594,1.2609779834747314,0.42738422751426697,0.026738841086626053,0.5425469279289246,1.3496390581130981,0.36563315987586975,0.018217967823147774,0.4601329267024994,1.3396166563034058,0.2800084948539734,0.01631275936961174
neutral,0.5001146793365479,0.18344156444072723,-0.24598781764507294,0.999967098236084,0.5129498243331909,0.14889512956142426,-0.2255791425704956,0.9999334812164307,0.5209816694259644,0.14832326769828796,-0.22581207752227783,0.9999470710754395,0.5282837748527527,0.14805199205875397,-0.22594782710075378,0.9999350309371948,0.4879046380519867,0.1511581391096115,-0.22710426151752472,0.9999290704727173,0.48054128885269165,0.15224741399288177,-0.2271590232849121,0.9999402165412903,0.4733647406101227,0.15399937331676483,-0.22729423642158508,0.9999260902404785,0.5374304056167603,0.16187331080436707,-0.08506567031145096,0.9999364018440247,0.4649713933467865,0.16858641803264618,-0.08846065402030945,0.9999538660049438,0.5163806676864624,0.2106027603149414,-0.19050049781799316,0.9999642372131348,0.48543626070022583,0.2118053436279297,-0.19163678586483002,0.9999603629112244,0.6045779585838318,0.32242071628570557,-0.002562873996794224,0.9999477863311768,0.41524916887283325,0.3231580853462219,-0.07738613337278366,0.9999234080314636,0.6303285360336304,0.5243555307388306,0.08581968396902084,0.9915425777435303,0.3936111629009247,0.5260280966758728,-0.0755474716424942,0.9965853095054626,0.6156962513923645,0.7102394104003906,0.008969806134700775,0.9901392459869385,0.3943038582801819,0.7196438312530518,-0.22076812386512756,0.9907472729682922,0.6162416338920593,0.774637758731842,-0.036838043481111526,0.98441481590271,0.391131728887558,0.7764204144477844,-0.27888691425323486,0.9820512533187866,0.6002223491668701,0.7725523710250854,-0.0860946923494339,0.9856412410736084,0.40483254194259644,0.7735329270362854,-0.32480743527412415,0.9833574295043945,0.5935013294219971,0.7559287548065186,-0.011328120715916157,0.9856196641921997,0.41221126914024353,0.7597773671150208,-0.24207241833209991,0.9832858443260193,0.5559447407722473,0.747678816318512,0.02089064195752144,0.9997257590293884,0.440708726644516,0.7370542287826538,-0.020421337336301804,0.9997103214263916,0.5432222485542297,0.9979748129844666,0.01370895467698574,0.7080491781234741,0.4311905801296234,1.0024956464767456,0.03951232135295868,0.681142270565033,0.552216649055481,1.2611116170883179,0.4292198121547699,0.03348519280552864,0.4384915232658386,1.248395562171936,0.39324095845222473,0.035790108144283295,0.5518820881843567,1.2851439714431763,0.4680038392543793,0.03792872652411461,0.4386567175388336,1.2693451642990112,0.42941150069236755,0.02469494193792343,0.5478853583335876,1.3596036434173584,0.3491995632648468,0.015431356616318226,0.4515310823917389,1.3458714485168457,0.2840556204319,0.014342124573886395
neutral,0.5009250640869141,0.1845635324716568,-0.2500631809234619,0.9999701976776123,0.5144148468971252,0.1493205726146698,-0.22776079177856445,0.9999340176582336,0.5223742127418518,0.148718923330307,-0.22800254821777344,0.9999505877494812,0.5295791029930115,0.14845530688762665,-0.22811202704906464,0.9999361634254456,0.48904576897621155,0.15159781277179718,-0.22966912388801575,0.9999305009841919,0.4817036986351013,0.1525740623474121,-0.22976593673229218,0.9999455213546753,0.4744681417942047,0.15425491333007812,-0.22991414368152618,0.9999289512634277,0.5387336611747742,0.16265223920345306,-0.07363347709178925,0.9999406933784485,0.46610164642333984,0.16873948276042938,-0.07941573858261108,0.9999591708183289,0.5172576308250427,0.21149060130119324,-0.18929485976696014,0.9999634027481079,0.4862597584724426,0.21293595433235168,-0.1910656988620758,0.9999592304229736,0.6052559614181519,0.32348862290382385,0.016891080886125565,0.9999513030052185,0.4159213900566101,0.32168829441070557,-0.07369812577962875,0.9999300837516785,0.6327030062675476,0.5292823314666748,0.1053304448723793,0.9934019446372986,0.3915098309516907,0.526892900466919,-0.08198259770870209,0.9972913265228271,0.6215206384658813,0.7140886783599854,0.008979899808764458,0.9922035932540894,0.3894927501678467,0.7204063534736633,-0.24613328278064728,0.992871105670929,0.6224672198295593,0.7790555953979492,-0.03781174123287201,0.9876787662506104,0.3880062997341156,0.7777462601661682,-0.30575865507125854,0.9861217141151428,0.6075368523597717,0.7754052877426147,-0.09009964764118195,0.9886499047279358,0.40223583579063416,0.7734354138374329,-0.3491578698158264,0.9871436953544617,0.6008874773979187,0.7581111788749695,-0.01273298542946577,0.9887272119522095,0.4086248278617859,0.7591903209686279,-0.26595669984817505,0.9871237874031067,0.5579240322113037,0.756377100944519,0.023753341287374496,0.999787449836731,0.440887451171875,0.742546021938324,-0.023311417549848557,0.9997734427452087,0.5468816161155701,1.0036380290985107,-0.003465631976723671,0.7314854860305786,0.4283408224582672,1.0070836544036865,0.009802121669054031,0.7032323479652405,0.5531951189041138,1.2925162315368652,0.4511808753013611,0.02840716764330864,0.4394777715206146,1.2883013486862183,0.389667809009552,0.03140227124094963,0.5541311502456665,1.316994071006775,0.49562329053878784,0.03204629197716713,0.4387277662754059,1.3138948678970337,0.4260401725769043,0.021975688636302948,0.5464001893997192,1.3900383710861206,0.37244221568107605,0.012571065686643124,0.4556531310081482,1.3825510740280151,0.2723570466041565,0.012248912826180458
neutral,0.49861812591552734,0.1867101639509201,-0.30967268347740173,0.9999721646308899,0.5131205916404724,0.15133699774742126,-0.28517019748687744,0.9999358057975769,0.5215160846710205,0.15081214904785156,-0.2854017913341522,0.9999532699584961,0.5288857221603394,0.1506630778312683,-0.2854836583137512,0.999937117099762,0.48775964975357056,0.1530788540840149,-0.2883499264717102,0.9999334812164307,0.4803192615509033,0.1537662148475647,-0.2884749174118042,0.9999500513076782,0.4728851914405823,0.15516297519207,-0.28862106800079346,0.9999329447746277,0.538314163684845,0.16427084803581238,-0.11181692034006119,0.9999440312385559,0.4649049639701843,0.16934694349765778,-0.1226729154586792,0.9999639987945557,0.5150021314620972,0.21413707733154297,-0.2404232770204544,0.9999635815620422,0.48395514488220215,0.21533328294754028,-0.24378740787506104,0.9999604821205139,0.6024860143661499,0.32545313239097595,0.011922226287424564,0.9999499320983887,0.41162577271461487,0.32179757952690125,-0.0908590704202652,0.9999357461929321,0.6300270557403564,0.5316861271858215,0.1289466768503189,0.9942611455917358,0.3905470669269562,0.5310153365135193,-0.09905874729156494,0.9977740049362183,0.6155403852462769,0.7189302444458008,0.019238481298089027,0.993114709854126,0.3894138038158417,0.7235497236251831,-0.2948600947856903,0.9942952990531921,0.615693211555481,0.7814295291900635,-0.031058896332979202,0.9892220497131348,0.38802820444107056,0.7821874618530273,-0.36172786355018616,0.9888197183609009,0.6028621792793274,0.7789968252182007,-0.08815889805555344,0.9900833368301392,0.40392589569091797,0.7751032114028931,-0.4082774221897125,0.9896573424339294,0.595699667930603,0.7630543112754822,-0.00531809264793992,0.9902980923652649,0.4106418490409851,0.7602323889732361,-0.3161526620388031,0.9896476864814758,0.5558165907859802,0.7562400102615356,0.02680877223610878,0.9998245239257812,0.4393765926361084,0.7427632808685303,-0.02630213461816311,0.9998112916946411,0.5472049713134766,1.0027371644973755,-0.02497880719602108,0.7476838231086731,0.43022283911705017,1.0061936378479004,-0.0015443143201991916,0.7180081605911255,0.5541790723800659,1.291290283203125,0.44469577074050903,0.025827959179878235,0.4453352391719818,1.2883487939834595,0.39644041657447815,0.029140997678041458,0.5542498826980591,1.3154633045196533,0.4891889989376068,0.029287196695804596,0.4437812864780426,1.3137551546096802,0.4361056685447693,0.020691782236099243,0.5477240085601807,1.3898156881332397,0.349564790725708,0.011010266840457916,0.46576541662216187,1.3816478252410889,0.26043421030044556,0.011106195859611034
neutral,0.4829346239566803,0.17707958817481995,-0.24127855896949768,0.999961793422699,0.49732884764671326,0.14574337005615234,-0.2129097878932953,0.9999116063117981,0.5061362981796265,0.14642445743083954,-0.21312549710273743,0.9999415874481201,0.5134197473526001,0.14754430949687958,-0.2132885456085205,0.9999152421951294,0.4734906256198883,0.14669445157051086,-0.21614298224449158,0.9999091625213623,0.4656636118888855,0.14773963391780853,-0.21623095870018005,0.99993896484375,0.4590364098548889,0.1491280496120453,-0.21636660397052765,0.9999123215675354,0.5230647325515747,0.16389544308185577,-0.035638920962810516,0.9999308586120605,0.4521629810333252,0.16615673899650574,-0.04765457659959793,0.9999579787254333,0.49870142340660095,0.20636852085590363,-0.1718100607395172,0.9999420642852783,0.4668826460838318,0.2065955102443695,-0.17538879811763763,0.9999310374259949,0.5845819115638733,0.32941776514053345,0.06972169876098633,0.9999310374259949,0.39572685956954956,0.3210689127445221,-0.024029245600104332,0.9999223351478577,0.6062168478965759,0.5352227687835693,0.18659064173698425,0.9947147965431213,0.3774760365486145,0.5365330576896667,-0.023498395457863808,0.9982664585113525,0.5956753492355347,0.7187052965164185,0.10444784164428711,0.9937182068824768,0.3786274790763855,0.7260937094688416,-0.18929079174995422,0.9965282678604126,0.5933200120925903,0.7795581817626953,0.06244640797376633,0.9912336468696594,0.38049787282943726,0.7803727984428406,-0.24686458706855774,0.9930705428123474,0.5846209526062012,0.7761796116828918,0.00956113263964653,0.9919512867927551,0.3958401679992676,0.7718349099159241,-0.29488882422447205,0.9936193823814392,0.5787016749382019,0.7586691975593567,0.08267880231142044,0.9925903081893921,0.39944320917129517,0.7558997869491577,-0.2105725258588791,0.993805468082428,0.5410834550857544,0.7649701833724976,0.029631558805704117,0.9999196529388428,0.4294582009315491,0.7535521388053894,-0.029143890365958214,0.9999078512191772,0.5402979254722595,1.0612353086471558,-0.07212913781404495,0.7700765132904053,0.4179612994194031,1.0358928442001343,-0.08200899511575699,0.7334047555923462,0.5355030298233032,1.2863404750823975,0.4723684787750244,0.01671760343015194,0.4292992949485779,1.2685741186141968,0.4548482894897461,0.01550827082246542,0.5360013246536255,1.3054062128067017,0.5262587070465088,0.018770363181829453,0.4308313727378845,1.285186767578125,0.5103124976158142,0.01263550017029047,0.5264800786972046,1.3900715112686157,0.40445780754089355,0.006375184748321772,0.4403243660926819,1.3566802740097046,0.3756116032600403,0.005815743003040552
neutral,0.48273101449012756,0.17703160643577576,-0.25360241532325745,0.9999525547027588,0.4970751702785492,0.14583508670330048,-0.2245485782623291,0.9998941421508789,0.5057145357131958,0.14662718772888184,-0.22478413581848145,0.9999282956123352,0.513033926486969,0.1478244960308075,-0.22489316761493683,0.9998986721038818,0.47297924757003784,0.14664031565189362,-0.23030030727386475,0.9998914003372192,0.4652107357978821,0.1477094143629074,-0.2304004430770874,0.9999255537986755,0.4582517743110657,0.14909915626049042,-0.23055711388587952,0.9998962879180908,0.522641658782959,0.1644490361213684,-0.048463307321071625,0.9999150037765503,0.4505511224269867,0.16614216566085815,-0.061885613948106766,0.9999493956565857,0.4985977113246918,0.20626284182071686,-0.1840776801109314,0.9999294877052307,0.4667297899723053,0.20646478235721588,-0.18706807494163513,0.9999151825904846,0.5810620188713074,0.3294903635978699,0.07123599201440811,0.9999223947525024,0.39583995938301086,0.32082393765449524,-0.032550595700740814,0.9999159574508667,0.5995774269104004,0.5322091579437256,0.21586839854717255,0.9933273196220398,0.37748396396636963,0.536068856716156,-0.011646672151982784,0.9982049465179443,0.5930725336074829,0.715873122215271,0.15296481549739838,0.9927230477333069,0.3784061074256897,0.7253453135490417,-0.14436210691928864,0.9965187311172485,0.5919324159622192,0.7755835652351379,0.11609600484371185,0.9901255965232849,0.3800959587097168,0.7790296077728271,-0.19877196848392487,0.9929950833320618,0.5843950510025024,0.7727293372154236,0.060935020446777344,0.9909428358078003,0.3958854079246521,0.7708482146263123,-0.24747924506664276,0.9935646057128906,0.5783630013465881,0.7550740838050842,0.13050204515457153,0.9917421340942383,0.3998422920703888,0.7551244497299194,-0.165653258562088,0.9937874674797058,0.5408086180686951,0.7612483501434326,0.030516300350427628,0.9999259114265442,0.4295331835746765,0.7519735097885132,-0.029998043552041054,0.9999135732650757,0.5380613803863525,1.0227501392364502,-0.08588464558124542,0.7733305096626282,0.4168524146080017,1.034050464630127,-0.09674780815839767,0.7290001511573792,0.5354509949684143,1.2773066759109497,0.4758506715297699,0.016507970169186592,0.42939043045043945,1.2613381147384644,0.4672357439994812,0.014189793728291988,0.5356888771057129,1.2954803705215454,0.5309547781944275,0.01817868836224079,0.4311181604862213,1.2763382196426392,0.5246081352233887,0.011729441583156586,0.5270357728004456,1.381982445716858,0.40810608863830566,0.0062491693533957005,0.4410897195339203,1.3500555753707886,0.38906365633010864,0.005370682571083307
neutral,0.48185625672340393,0.17901428043842316,-0.2749903202056885,0.9999558925628662,0.49660244584083557,0.1468379944562912,-0.24775180220603943,0.9999017119407654,0.5051292181015015,0.14756307005882263,-0.2479754239320755,0.9999333024024963,0.5124688744544983,0.14863818883895874,-0.24809738993644714,0.9999056458473206,0.47207731008529663,0.14743514358997345,-0.2531053423881531,0.9998988509178162,0.46432262659072876,0.14832864701747894,-0.2532004415988922,0.999930739402771,0.45721855759620667,0.1495429426431656,-0.2533671259880066,0.99990314245224,0.5221730470657349,0.16474880278110504,-0.06375981867313385,0.9999211430549622,0.4501352310180664,0.16606087982654572,-0.08417512476444244,0.9999536275863647,0.49832963943481445,0.20897428691387177,-0.2020336091518402,0.999934732913971,0.466259628534317,0.20861360430717468,-0.20801982283592224,0.9999215006828308,0.582328200340271,0.3311295807361603,0.06129741668701172,0.9999287724494934,0.39585280418395996,0.3201139271259308,-0.05445728451013565,0.9999210238456726,0.601610541343689,0.5327802896499634,0.18885664641857147,0.9934789538383484,0.37738150358200073,0.5345770120620728,-0.061854392290115356,0.9982726573944092,0.5922443270683289,0.71543288230896,0.08819799870252609,0.9931125640869141,0.37831562757492065,0.7232829928398132,-0.23855319619178772,0.9967254400253296,0.5914109945297241,0.7754236459732056,0.04199104383587837,0.9906479120254517,0.37986668944358826,0.7790110111236572,-0.3028286099433899,0.9933610558509827,0.5833016633987427,0.7722971439361572,-0.013685055077075958,0.9914483428001404,0.39619070291519165,0.7711512446403503,-0.3507508635520935,0.9939107298851013,0.5770336985588074,0.7549795508384705,0.06450231373310089,0.9922236800193787,0.4002709984779358,0.7553519606590271,-0.26008325815200806,0.9941271543502808,0.5401176810264587,0.7606409788131714,0.031017472967505455,0.9999369382858276,0.4290595054626465,0.7492882013320923,-0.030475080013275146,0.9999246597290039,0.5372447967529297,1.011478304862976,-0.08157885819673538,0.7800213694572449,0.41755563020706177,1.0283478498458862,-0.06955429911613464,0.7361143827438354,0.5383396148681641,1.2902510166168213,0.44074082374572754,0.0162626001983881,0.4282306134700775,1.2813104391098022,0.4332980513572693,0.014223940670490265,0.538808286190033,1.313082218170166,0.4883909821510315,0.017818477004766464,0.4289931356906891,1.302490234375,0.4816543161869049,0.011473731137812138,0.5322476029396057,1.390978217124939,0.34741610288619995,0.006049308460205793,0.44126349687576294,1.3738099336624146,0.3209656774997711,0.005299484357237816
neutral,0.48152393102645874,0.18036092817783356,-0.27356553077697754,0.9999549984931946,0.49603337049484253,0.14760206639766693,-0.24712511897087097,0.9998997449874878,0.5044987201690674,0.14829573035240173,-0.24734564125537872,0.9999306797981262,0.5118592977523804,0.14930637180805206,-0.24750249087810516,0.99990314245224,0.471719354391098,0.14803940057754517,-0.25065848231315613,0.9998978972434998,0.4641208052635193,0.14881794154644012,-0.25074225664138794,0.9999296069145203,0.4570738673210144,0.14996865391731262,-0.2509121298789978,0.9999029636383057,0.5217767953872681,0.16517335176467896,-0.0675232782959938,0.9999175071716309,0.45013228058815,0.16610513627529144,-0.08103053271770477,0.9999532699584961,0.4983503222465515,0.2102227658033371,-0.20259273052215576,0.9999353885650635,0.46634751558303833,0.20966696739196777,-0.20658686757087708,0.9999237656593323,0.5844723582267761,0.33165353536605835,0.05169066786766052,0.9999298453330994,0.39592620730400085,0.3199820816516876,-0.057149410247802734,0.9999237656593323,0.610604465007782,0.5355673432350159,0.15529748797416687,0.9935473799705505,0.3777351379394531,0.5341768860816956,-0.06685488671064377,0.9982690811157227,0.5925003886222839,0.7200676798820496,0.05352107807993889,0.9931222200393677,0.3791843056678772,0.7229375243186951,-0.24265027046203613,0.9968432784080505,0.5913013219833374,0.7796647548675537,0.006278197281062603,0.9905923008918762,0.3799373507499695,0.779365599155426,-0.3070467412471771,0.9935721158981323,0.5831235647201538,0.776055634021759,-0.04747386276721954,0.9914047122001648,0.3964199423789978,0.7720856070518494,-0.35277193784713745,0.9941072463989258,0.5768819451332092,0.7599815130233765,0.030619189143180847,0.9921789169311523,0.40150994062423706,0.7562229037284851,-0.2636224031448364,0.9942760467529297,0.5401889681816101,0.761635959148407,0.03173088654875755,0.9999418258666992,0.4290187954902649,0.7490147352218628,-0.031210094690322876,0.9999291300773621,0.5378769040107727,1.0147615671157837,-0.07959187775850296,0.7729244232177734,0.4181285500526428,1.028857946395874,-0.0655234232544899,0.7313786745071411,0.5395237803459167,1.2982428073883057,0.4421653747558594,0.01600545644760132,0.4270610213279724,1.2858103513717651,0.4324836730957031,0.01443626917898655,0.5397759079933167,1.3211098909378052,0.4916954040527344,0.01748582161962986,0.42761677503585815,1.3073242902755737,0.48174604773521423,0.011335949413478374,0.5345681309700012,1.3991981744766235,0.3556923270225525,0.006021123845130205,0.43990883231163025,1.37818443775177,0.3247128129005432,0.0054325805976986885
